Site,Date,Time,Temperature_C
PBS,15/04/2022,12:00:00,18.88
PBS,15/04/2022,12:10:00,18.85
PBS,15/04/2022,12:20:00,18.82
PBS,15/04/2022,12:30:00,18.79
PBS,15/04/2022,12:40:00,18.73
PBS,15/04/2022,12:50:00,18.71
PBS,15/04/2022,1:00:00,18.66
PBS,15/04/2022,1:10:00,18.63
PBS,15/04/2022,1:20:00,18.59
PBS,15/04/2022,1:30:00,18.52
PBS,15/04/2022,1:40:00,18.51
PBS,15/04/2022,1:50:00,18.48
PBS,15/04/2022,2:00:00,18.46
PBS,15/04/2022,2:10:00,18.41
PBS,15/04/2022,2:20:00,18.36
PBS,15/04/2022,2:30:00,18.38
PBS,15/04/2022,2:40:00,18.33
PBS,15/04/2022,2:50:00,18.28
PBS,15/04/2022,3:00:00,18.26
PBS,15/04/2022,3:10:00,18.22
PBS,15/04/2022,3:20:00,18.2
PBS,15/04/2022,3:30:00,18.18
PBS,15/04/2022,3:40:00,18.17
PBS,15/04/2022,3:50:00,18.12
PBS,15/04/2022,4:00:00,18.13
PBS,15/04/2022,4:10:00,18.08
PBS,15/04/2022,4:20:00,18.07
PBS,15/04/2022,4:30:00,18.07
PBS,15/04/2022,4:40:00,18.05
PBS,15/04/2022,4:50:00,18.06
PBS,15/04/2022,5:00:00,18.07
PBS,15/04/2022,5:10:00,18.09
PBS,15/04/2022,5:20:00,18.09
PBS,15/04/2022,5:30:00,18.13
PBS,15/04/2022,5:40:00,18.15
PBS,15/04/2022,5:50:00,18.15
PBS,15/04/2022,6:00:00,18.14
PBS,15/04/2022,6:10:00,18.14
PBS,15/04/2022,6:20:00,18.1
PBS,15/04/2022,6:30:00,18.09
PBS,15/04/2022,6:40:00,18.08
PBS,15/04/2022,6:50:00,18.06
PBS,15/04/2022,7:00:00,18.05
PBS,15/04/2022,7:10:00,18.02
PBS,15/04/2022,7:20:00,17.97
PBS,15/04/2022,7:30:00,17.97
PBS,15/04/2022,7:40:00,17.93
PBS,15/04/2022,7:50:00,17.91
PBS,15/04/2022,8:00:00,17.87
PBS,15/04/2022,8:10:00,17.84
PBS,15/04/2022,8:20:00,17.8
PBS,15/04/2022,8:30:00,17.78
PBS,15/04/2022,8:40:00,17.73
PBS,15/04/2022,8:50:00,17.72
PBS,15/04/2022,9:00:00,17.67
PBS,15/04/2022,9:10:00,17.63
PBS,15/04/2022,9:20:00,17.62
PBS,15/04/2022,9:30:00,17.56
PBS,15/04/2022,9:40:00,17.54
PBS,15/04/2022,9:50:00,17.51
PBS,15/04/2022,10:00:00,17.49
PBS,15/04/2022,10:10:00,17.47
PBS,15/04/2022,10:20:00,17.4
