#,Date-Time (PDT),Ch: 1 - Temperature   (°C ),Stopped,End of File
1,04/15/2022 12:00:00,18.316,,
2,04/15/2022 12:10:00,18.316,,
3,04/15/2022 12:20:00,18.305,,
4,04/15/2022 12:30:00,18.326,,
5,04/15/2022 12:40:00,18.337,,
6,04/15/2022 12:50:00,18.326,,
7,04/15/2022 13:00:00,18.348,,
8,04/15/2022 13:10:00,18.337,,
9,04/15/2022 13:20:00,18.337,,
10,04/15/2022 13:30:00,18.337,,
11,04/15/2022 13:40:00,18.337,,
12,04/15/2022 13:50:00,18.337,,
13,04/15/2022 14:00:00,18.348,,
14,04/15/2022 14:10:00,18.326,,
15,04/15/2022 14:20:00,18.326,,
16,04/15/2022 14:30:00,18.326,,
17,04/15/2022 14:40:00,18.337,,
18,04/15/2022 14:50:00,18.337,,
19,04/15/2022 15:00:00,18.337,,
20,04/15/2022 15:10:00,18.348,,
21,04/15/2022 15:20:00,18.337,,
22,04/15/2022 15:30:00,18.337,,
23,04/15/2022 15:40:00,18.369,,
24,04/15/2022 15:50:00,18.359,,
25,04/15/2022 16:00:00,18.337,,
26,04/15/2022 16:10:00,18.380,,
27,04/15/2022 16:20:00,18.348,,
28,04/15/2022 16:30:00,18.359,,
29,04/15/2022 16:40:00,18.348,,
30,04/15/2022 16:50:00,18.380,,
31,04/15/2022 17:00:00,18.348,,
32,04/15/2022 17:10:00,18.359,,
33,04/15/2022 17:20:00,18.380,,
34,04/15/2022 17:30:00,18.369,,
35,04/15/2022 17:40:00,18.359,,
36,04/15/2022 17:50:00,18.369,,
37,04/15/2022 18:00:00,18.348,,
38,04/15/2022 18:10:00,18.337,,
39,04/15/2022 18:20:00,18.359,,
40,04/15/2022 18:30:00,18.380,,
41,04/15/2022 18:40:00,18.369,,
42,04/15/2022 18:50:00,18.380,,
43,04/15/2022 19:00:00,18.369,,
44,04/15/2022 19:10:00,18.369,,
45,04/15/2022 19:20:00,18.369,,
46,04/15/2022 19:30:00,18.369,,
47,04/15/2022 19:40:00,18.391,,
48,04/15/2022 19:50:00,18.369,,
49,04/15/2022 20:00:00,18.369,,
50,04/15/2022 20:10:00,18.359,,
51,04/15/2022 20:20:00,18.369,,
52,04/15/2022 20:30:00,18.369,,
53,04/15/2022 20:40:00,18.359,,
54,04/15/2022 20:50:00,18.359,,
55,04/15/2022 21:00:00,18.359,,
56,04/15/2022 21:10:00,18.337,,
57,04/15/2022 21:20:00,18.337,,
58,04/15/2022 21:30:00,18.316,,
59,04/15/2022 21:40:00,18.316,,
60,04/15/2022 21:50:00,18.316,,
61,04/15/2022 22:00:00,18.316,,
62,04/15/2022 22:10:00,18.305,,
63,04/15/2022 22:20:00,18.316,,
64,04/15/2022 22:30:00,18.294,,
65,04/15/2022 22:40:00,18.305,,
66,04/15/2022 22:50:00,18.294,,
67,04/15/2022 23:00:00,18.284,,
68,04/15/2022 23:10:00,18.284,,
69,04/15/2022 23:20:00,18.294,,
70,04/15/2022 23:30:00,18.284,,
71,04/15/2022 23:40:00,18.251,,
72,04/15/2022 23:50:00,18.262,,
73,04/16/2022 00:00:00,18.241,,
74,04/16/2022 00:10:00,18.251,,
75,04/16/2022 00:20:00,18.241,,
76,04/16/2022 00:30:00,18.251,,
77,04/16/2022 00:40:00,18.251,,
78,04/16/2022 00:50:00,18.262,,
79,04/16/2022 01:00:00,18.273,,
80,04/16/2022 01:10:00,18.273,,
81,04/16/2022 01:20:00,18.273,,
82,04/16/2022 01:30:00,18.294,,
83,04/16/2022 01:40:00,18.305,,
84,04/16/2022 01:50:00,18.305,,
85,04/16/2022 02:00:00,18.305,,
86,04/16/2022 02:10:00,18.316,,
87,04/16/2022 02:20:00,18.326,,
88,04/16/2022 02:30:00,18.316,,
89,04/16/2022 02:40:00,18.305,,
90,04/16/2022 02:50:00,18.305,,
91,04/16/2022 03:00:00,18.316,,
92,04/16/2022 03:10:00,18.348,,
93,04/16/2022 03:20:00,18.316,,
94,04/16/2022 03:30:00,18.316,,
95,04/16/2022 03:40:00,18.337,,
96,04/16/2022 03:50:00,18.326,,
97,04/16/2022 04:00:00,18.359,,
98,04/16/2022 04:10:00,18.348,,
99,04/16/2022 04:20:00,18.337,,
100,04/16/2022 04:30:00,18.337,,
101,04/16/2022 04:40:00,18.348,,
102,04/16/2022 04:50:00,18.337,,
103,04/16/2022 05:00:00,18.348,,
104,04/16/2022 05:10:00,18.359,,
105,04/16/2022 05:20:00,18.359,,
106,04/16/2022 05:30:00,18.348,,
107,04/16/2022 05:40:00,18.359,,
108,04/16/2022 05:50:00,18.337,,
109,04/16/2022 06:00:00,18.369,,
110,04/16/2022 06:10:00,18.348,,
111,04/16/2022 06:20:00,18.380,,
112,04/16/2022 06:30:00,18.359,,
113,04/16/2022 06:40:00,18.359,,
114,04/16/2022 06:50:00,18.369,,
115,04/16/2022 07:00:00,18.369,,
116,04/16/2022 07:10:00,18.348,,
117,04/16/2022 07:20:00,18.359,,
118,04/16/2022 07:30:00,18.369,,
119,04/16/2022 07:40:00,18.359,,
120,04/16/2022 07:50:00,18.369,,
121,04/16/2022 08:00:00,18.369,,
122,04/16/2022 08:10:00,18.348,,
123,04/16/2022 08:20:00,18.348,,
124,04/16/2022 08:30:00,18.380,,
125,04/16/2022 08:40:00,18.380,,
126,04/16/2022 08:50:00,18.380,,
127,04/16/2022 09:00:00,18.380,,
128,04/16/2022 09:10:00,18.380,,
129,04/16/2022 09:20:00,18.380,,
130,04/16/2022 09:30:00,18.359,,
131,04/16/2022 09:40:00,18.380,,
132,04/16/2022 09:50:00,18.412,,
133,04/16/2022 10:00:00,18.380,,
134,04/16/2022 10:10:00,18.401,,
135,04/16/2022 10:20:00,18.380,,
136,04/16/2022 10:30:00,18.380,,
137,04/16/2022 10:40:00,18.380,,
138,04/16/2022 10:50:00,18.391,,
139,04/16/2022 11:00:00,18.369,,
140,04/16/2022 11:10:00,18.391,,
141,04/16/2022 11:20:00,18.391,,
142,04/16/2022 11:30:00,18.401,,
143,04/16/2022 11:40:00,18.401,,
144,04/16/2022 11:50:00,18.401,,
145,04/16/2022 12:00:00,18.401,,
146,04/16/2022 12:10:00,18.412,,
147,04/16/2022 12:20:00,18.401,,
148,04/16/2022 12:30:00,18.423,,
149,04/16/2022 12:40:00,18.412,,
150,04/16/2022 12:50:00,18.412,,
151,04/16/2022 13:00:00,18.434,,
152,04/16/2022 13:10:00,18.423,,
153,04/16/2022 13:20:00,18.412,,
154,04/16/2022 13:30:00,18.423,,
155,04/16/2022 13:40:00,18.434,,
156,04/16/2022 13:50:00,18.412,,
157,04/16/2022 14:00:00,18.444,,
158,04/16/2022 14:10:00,18.455,,
159,04/16/2022 14:20:00,18.423,,
160,04/16/2022 14:30:00,18.423,,
161,04/16/2022 14:40:00,18.423,,
162,04/16/2022 14:50:00,18.455,,
163,04/16/2022 15:00:00,18.423,,
164,04/16/2022 15:10:00,18.423,,
165,04/16/2022 15:20:00,18.434,,
166,04/16/2022 15:30:00,18.434,,
167,04/16/2022 15:40:00,18.434,,
168,04/16/2022 15:50:00,18.423,,
169,04/16/2022 16:00:00,18.434,,
170,04/16/2022 16:10:00,18.434,,
171,04/16/2022 16:20:00,18.444,,
172,04/16/2022 16:30:00,18.455,,
173,04/16/2022 16:40:00,18.434,,
174,04/16/2022 16:50:00,18.434,,
175,04/16/2022 17:00:00,18.455,,
