"Plot Title: 21234301_Saturna"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21234301, SEN S/N: 21234301)","Stopped (LGR S/N: 21234301, SEN S/N: 21234301)","End Of File (LGR S/N: 21234301, SEN S/N: 21234301)"
1,04/15/22 12:00:00  PM,17.92,,
2,04/15/22 12:10:00  PM,17.84,,
3,04/15/22 12:20:00  PM,17.80,,
4,04/15/22 12:30:00  PM,17.70,,
5,04/15/22 12:40:00  PM,17.66,,
6,04/15/22 12:50:00  PM,17.61,,
7,04/15/22 01:00:00  PM,17.55,,
8,04/15/22 01:10:00  PM,17.52,,
9,04/15/22 01:20:00  PM,17.49,,
10,04/15/22 01:30:00  PM,17.43,,
11,04/15/22 01:40:00  PM,17.39,,
12,04/15/22 01:50:00  PM,17.37,,
13,04/15/22 02:00:00  PM,17.33,,
14,04/15/22 02:10:00  PM,17.30,,
15,04/15/22 02:20:00  PM,17.24,,
16,04/15/22 02:30:00  PM,17.19,,
17,04/15/22 02:40:00  PM,17.16,,
18,04/15/22 02:50:00  PM,17.08,,
19,04/15/22 03:00:00  PM,17.04,,
20,04/15/22 03:10:00  PM,17.02,,
21,04/15/22 03:20:00  PM,16.99,,
22,04/15/22 03:30:00  PM,16.95,,
23,04/15/22 03:40:00  PM,16.93,,
24,04/15/22 03:50:00  PM,16.90,,
25,04/15/22 04:00:00  PM,16.87,,
26,04/15/22 04:10:00  PM,16.87,,
27,04/15/22 04:20:00  PM,16.87,,
28,04/15/22 04:30:00  PM,16.84,,
29,04/15/22 04:40:00  PM,16.84,,
30,04/15/22 04:50:00  PM,16.80,,
31,04/15/22 05:00:00  PM,16.81,,
32,04/15/22 05:10:00  PM,16.80,,
33,04/15/22 05:20:00  PM,16.78,,
34,04/15/22 05:30:00  PM,16.81,,
35,04/15/22 05:40:00  PM,16.80,,
36,04/15/22 05:50:00  PM,16.82,,
37,04/15/22 06:00:00  PM,16.86,,
38,04/15/22 06:10:00  PM,16.85,,
39,04/15/22 06:20:00  PM,16.86,,
40,04/15/22 06:30:00  PM,16.87,,
41,04/15/22 06:40:00  PM,16.86,,
42,04/15/22 06:50:00  PM,16.86,,
43,04/15/22 07:00:00  PM,16.86,,
44,04/15/22 07:10:00  PM,16.81,,
45,04/15/22 07:20:00  PM,16.81,,
46,04/15/22 07:30:00  PM,16.78,,
47,04/15/22 07:40:00  PM,16.75,,
48,04/15/22 07:50:00  PM,16.73,,
49,04/15/22 08:00:00  PM,16.67,,
50,04/15/22 08:10:00  PM,16.63,,
51,04/15/22 08:20:00  PM,16.57,,
52,04/15/22 08:30:00  PM,16.51,,
53,04/15/22 08:40:00  PM,16.47,,
54,04/15/22 08:50:00  PM,16.42,,
55,04/15/22 09:00:00  PM,16.33,,
56,04/15/22 09:10:00  PM,16.32,,
57,04/15/22 09:20:00  PM,16.32,,
58,04/15/22 09:30:00  PM,16.55,,
59,04/15/22 09:40:00  PM,16.75,,
60,04/15/22 09:50:00  PM,16.95,,
61,04/15/22 10:00:00  PM,17.25,,
62,04/15/22 10:10:00  PM,17.44,,
63,04/15/22 10:20:00  PM,17.72,,
64,04/15/22 10:30:00  PM,17.88,,
65,04/15/22 10:40:00  PM,18.14,,
66,04/15/22 10:50:00  PM,18.23,,
67,04/15/22 11:00:00  PM,18.24,,
68,04/15/22 11:10:00  PM,18.22,,
69,04/15/22 11:20:00  PM,18.17,,
70,04/15/22 11:30:00  PM,18.09,,
71,04/15/22 11:40:00  PM,17.94,,
72,04/15/22 11:50:00  PM,17.82,,
73,04/16/22 12:00:00  AM,17.69,,
74,04/16/22 12:10:00  AM,17.53,,
75,04/16/22 12:20:00  AM,17.39,,
76,04/16/22 12:30:00  AM,17.25,,
77,04/16/22 12:40:00  AM,17.13,,
78,04/16/22 12:50:00  AM,16.98,,
79,04/16/22 01:00:00  AM,16.90,,
80,04/16/22 01:10:00  AM,17.05,,
81,04/16/22 01:20:00  AM,17.15,,
82,04/16/22 01:30:00  AM,17.39,,
83,04/16/22 01:40:00  AM,17.48,,
84,04/16/22 01:50:00  AM,17.74,,
85,04/16/22 02:00:00  AM,17.90,,
86,04/16/22 02:10:00  AM,18.07,,
87,04/16/22 02:20:00  AM,18.27,,
88,04/16/22 02:30:00  AM,18.41,,
89,04/16/22 02:40:00  AM,18.64,,
90,04/16/22 02:50:00  AM,18.71,,
91,04/16/22 03:00:00  AM,18.72,,
92,04/16/22 03:10:00  AM,18.65,,
93,04/16/22 03:20:00  AM,18.54,,
94,04/16/22 03:30:00  AM,18.43,,
95,04/16/22 03:40:00  AM,18.26,,
96,04/16/22 03:50:00  AM,18.09,,
97,04/16/22 04:00:00  AM,17.94,,
98,04/16/22 04:10:00  AM,17.76,,
99,04/16/22 04:20:00  AM,17.58,,
100,04/16/22 04:30:00  AM,17.40,,
101,04/16/22 04:40:00  AM,17.25,,
102,04/16/22 04:50:00  AM,17.15,,
103,04/16/22 05:00:00  AM,17.24,,
104,04/16/22 05:10:00  AM,17.31,,
105,04/16/22 05:20:00  AM,17.54,,
106,04/16/22 05:30:00  AM,17.62,,
107,04/16/22 05:40:00  AM,17.90,,
108,04/16/22 05:50:00  AM,18.02,,
109,04/16/22 06:00:00  AM,18.25,,
110,04/16/22 06:10:00  AM,18.40,,
111,04/16/22 06:20:00  AM,18.57,,
112,04/16/22 06:30:00  AM,18.58,,
113,04/16/22 06:40:00  AM,18.56,,
114,04/16/22 06:50:00  AM,18.47,,
115,04/16/22 07:00:00  AM,18.36,,
116,04/16/22 07:10:00  AM,18.22,,
117,04/16/22 07:20:00  AM,18.09,,
118,04/16/22 07:30:00  AM,17.94,,
119,04/16/22 07:40:00  AM,17.82,,
120,04/16/22 07:50:00  AM,17.64,,
121,04/16/22 08:00:00  AM,17.50,,
122,04/16/22 08:10:00  AM,17.38,,
123,04/16/22 08:20:00  AM,17.25,,
124,04/16/22 08:30:00  AM,17.15,,
125,04/16/22 08:40:00  AM,17.03,,
126,04/16/22 08:50:00  AM,16.92,,
127,04/16/22 09:00:00  AM,17.00,,
128,04/16/22 09:10:00  AM,17.11,,
129,04/16/22 09:20:00  AM,17.33,,
130,04/16/22 09:30:00  AM,17.46,,
131,04/16/22 09:40:00  AM,17.74,,
132,04/16/22 09:50:00  AM,17.85,,
133,04/16/22 10:00:00  AM,18.15,,
134,04/16/22 10:10:00  AM,18.33,,
135,04/16/22 10:20:00  AM,18.55,,
136,04/16/22 10:30:00  AM,18.61,,
137,04/16/22 10:40:00  AM,18.59,,
138,04/16/22 10:50:00  AM,18.57,,
139,04/16/22 11:00:00  AM,18.51,,
140,04/16/22 11:10:00  AM,18.46,,
141,04/16/22 11:20:00  AM,18.36,,
142,04/16/22 11:30:00  AM,18.25,,
143,04/16/22 11:40:00  AM,18.18,,
144,04/16/22 11:50:00  AM,18.08,,
145,04/16/22 12:00:00  PM,17.96,,
146,04/16/22 12:10:00  PM,17.91,,
147,04/16/22 12:20:00  PM,17.81,,
148,04/16/22 12:30:00  PM,17.72,,
149,04/16/22 12:40:00  PM,17.63,,
150,04/16/22 12:50:00  PM,17.56,,
151,04/16/22 01:00:00  PM,17.50,,
152,04/16/22 01:10:00  PM,17.45,,
153,04/16/22 01:20:00  PM,17.38,,
154,04/16/22 01:30:00  PM,17.33,,
155,04/16/22 01:40:00  PM,17.26,,
156,04/16/22 01:50:00  PM,17.22,,
157,04/16/22 02:00:00  PM,17.18,,
158,04/16/22 02:10:00  PM,17.13,,
159,04/16/22 02:20:00  PM,17.08,,
160,04/16/22 02:30:00  PM,17.08,,
161,04/16/22 02:40:00  PM,17.03,,
162,04/16/22 02:50:00  PM,16.98,,
163,04/16/22 03:00:00  PM,16.96,,
164,04/16/22 03:10:00  PM,16.94,,
165,04/16/22 03:20:00  PM,16.91,,
166,04/16/22 03:30:00  PM,16.87,,
167,04/16/22 03:40:00  PM,16.86,,
168,04/16/22 03:50:00  PM,16.80,,
169,04/16/22 04:00:00  PM,16.80,,
170,04/16/22 04:10:00  PM,16.76,,
171,04/16/22 04:20:00  PM,16.73,,
172,04/16/22 04:30:00  PM,16.69,,
173,04/16/22 04:40:00  PM,16.70,,
174,04/16/22 04:50:00  PM,16.65,,
175,04/16/22 05:00:00  PM,16.67,,
176,04/16/22 05:10:00  PM,16.64,,
177,04/16/22 05:20:00  PM,16.64,,
178,04/16/22 05:30:00  PM,16.65,,
179,04/16/22 05:40:00  PM,16.63,,
180,04/16/22 05:50:00  PM,16.62,,
181,04/16/22 06:00:00  PM,16.63,,
182,04/16/22 06:10:00  PM,16.61,,
183,04/16/22 06:20:00  PM,16.62,,
184,04/16/22 06:30:00  PM,16.62,,
