"Plot Title: 21234309_descanso"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 21234309)","Stopped (LGR S/N: 21234309)","End Of File (LGR S/N: 21234309)"
1,23/04/15 11:00:00,16.96,,
2,23/04/15 11:10:00,17.02,,
3,23/04/15 11:20:00,17.04,,
4,23/04/15 11:30:00,17.08,,
5,23/04/15 11:40:00,17.13,,
6,23/04/15 11:50:00,17.17,,
7,23/04/15 12:00:00,17.21,,
8,23/04/15 12:10:00,17.26,,
9,23/04/15 12:20:00,17.30,,
10,23/04/15 12:30:00,17.34,,
11,23/04/15 12:40:00,17.38,,
12,23/04/15 12:50:00,17.43,,
13,23/04/15 13:00:00,17.46,,
14,23/04/15 13:10:00,17.51,,
15,23/04/15 13:20:00,17.55,,
16,23/04/15 13:30:00,17.63,,
17,23/04/15 13:40:00,17.63,,
18,23/04/15 13:50:00,17.68,,
19,23/04/15 14:00:00,17.72,,
20,23/04/15 14:10:00,17.74,,
21,23/04/15 14:20:00,17.77,,
22,23/04/15 14:30:00,17.80,,
23,23/04/15 14:40:00,17.82,,
24,23/04/15 14:50:00,17.81,,
25,23/04/15 15:00:00,17.82,,
26,23/04/15 15:10:00,17.82,,
27,23/04/15 15:20:00,17.80,,
28,23/04/15 15:30:00,17.80,,
29,23/04/15 15:40:00,17.80,,
30,23/04/15 15:50:00,17.80,,
31,23/04/15 16:00:00,17.80,,
32,23/04/15 16:10:00,17.79,,
33,23/04/15 16:20:00,17.83,,
34,23/04/15 16:30:00,17.87,,
35,23/04/15 16:40:00,17.90,,
36,23/04/15 16:50:00,17.92,,
37,23/04/15 17:00:00,17.94,,
38,23/04/15 17:10:00,17.93,,
39,23/04/15 17:20:00,17.93,,
40,23/04/15 17:30:00,17.94,,
41,23/04/15 17:40:00,17.93,,
42,23/04/15 17:50:00,17.93,,
43,23/04/15 18:00:00,17.93,,
44,23/04/15 18:10:00,17.92,,
45,23/04/15 18:20:00,17.92,,
46,23/04/15 18:30:00,17.94,,
47,23/04/15 18:40:00,17.95,,
48,23/04/15 18:50:00,18.19,,
49,23/04/15 19:00:00,18.49,,
50,23/04/15 19:10:00,18.76,,
51,23/04/15 19:20:00,18.91,,
52,23/04/15 19:30:00,19.06,,
53,23/04/15 19:40:00,19.14,,
54,23/04/15 19:50:00,19.15,,
55,23/04/15 20:00:00,19.16,,
56,23/04/15 20:10:00,19.15,,
57,23/04/15 20:20:00,19.11,,
58,23/04/15 20:30:00,19.03,,
59,23/04/15 20:40:00,18.98,,
60,23/04/15 20:50:00,18.91,,
61,23/04/15 21:00:00,18.82,,
62,23/04/15 21:10:00,18.79,,
