"Plot Title: 21255253_minersbay"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21255253)","Stopped (LGR S/N: 21255253)","End Of File (LGR S/N: 21255253)"
1,23/05/01 13:00:00,9.67,,
2,23/05/01 13:10:00,9.48,,
3,23/05/01 13:20:00,9.31,,
4,23/05/01 13:30:00,9.27,,
5,23/05/01 13:40:00,9.22,,
6,23/05/01 13:50:00,9.20,,
7,23/05/01 14:00:00,9.12,,
8,23/05/01 14:10:00,9.53,,
9,23/05/01 14:20:00,9.79,,
10,23/05/01 14:30:00,9.69,,
11,23/05/01 14:40:00,9.36,,
12,23/05/01 14:50:00,9.25,,
13,23/05/01 15:00:00,9.19,,
14,23/05/01 15:10:00,9.18,,
15,23/05/01 15:20:00,9.21,,
16,23/05/01 15:30:00,9.17,,
17,23/05/01 15:40:00,9.17,,
18,23/05/01 15:50:00,9.35,,
19,23/05/01 16:00:00,10.42,,
20,23/05/01 16:10:00,10.94,,
21,23/05/01 16:20:00,11.18,,
22,23/05/01 16:30:00,11.27,,
23,23/05/01 16:40:00,11.33,,
24,23/05/01 16:50:00,11.33,,
25,23/05/01 17:00:00,11.36,,
26,23/05/01 17:10:00,11.42,,
27,23/05/01 17:20:00,11.40,,
28,23/05/01 17:30:00,11.39,,
29,23/05/01 17:40:00,11.28,,
30,23/05/01 17:50:00,11.19,,
31,23/05/01 18:00:00,11.20,,
32,23/05/01 18:10:00,11.26,,
33,23/05/01 18:20:00,11.16,,
34,23/05/01 18:30:00,11.18,,
35,23/05/01 18:40:00,11.17,,
36,23/05/01 18:50:00,11.17,,
37,23/05/01 19:00:00,11.16,,
38,23/05/01 19:10:00,11.18,,
39,23/05/01 19:20:00,11.17,,
40,23/05/01 19:30:00,11.16,,
41,23/05/01 19:40:00,11.17,,
42,23/05/01 19:50:00,11.18,,
43,23/05/01 20:00:00,11.18,,
44,23/05/01 20:10:00,11.16,,
45,23/05/01 20:20:00,11.10,,
46,23/05/01 20:30:00,11.12,,
47,23/05/01 20:40:00,11.15,,
48,23/05/01 20:50:00,11.13,,
49,23/05/01 21:00:00,11.13,,
50,23/05/01 21:10:00,11.16,,
51,23/05/01 21:20:00,11.16,,
52,23/05/01 21:30:00,11.13,,
53,23/05/01 21:40:00,11.08,,
54,23/05/01 21:50:00,11.09,,
55,23/05/01 22:00:00,11.05,,
56,23/05/01 22:10:00,11.05,,
57,23/05/01 22:20:00,11.03,,
58,23/05/01 22:30:00,11.04,,
59,23/05/01 22:40:00,11.05,,
60,23/05/01 22:50:00,11.02,,
61,23/05/01 23:00:00,11.03,,
62,23/05/01 23:10:00,11.01,,
63,23/05/01 23:20:00,11.00,,
64,23/05/01 23:30:00,10.65,,
65,23/05/01 23:40:00,9.84,,
66,23/05/01 23:50:00,9.32,,
67,23/05/02 00:00:00,9.17,,
68,23/05/02 00:10:00,9.14,,
69,23/05/02 00:20:00,9.19,,
70,23/05/02 00:30:00,9.03,,
71,23/05/02 00:40:00,9.05,,
72,23/05/02 00:50:00,9.03,,
73,23/05/02 01:00:00,8.96,,
74,23/05/02 01:10:00,8.92,,
75,23/05/02 01:20:00,8.86,,
76,23/05/02 01:30:00,8.83,,
77,23/05/02 01:40:00,8.81,,
78,23/05/02 01:50:00,8.80,,
79,23/05/02 02:00:00,8.76,,
80,23/05/02 02:10:00,8.78,,
81,23/05/02 02:20:00,8.76,,
82,23/05/02 02:30:00,8.76,,
83,23/05/02 02:40:00,8.74,,
84,23/05/02 02:50:00,8.70,,
85,23/05/02 03:00:00,8.70,,
86,23/05/02 03:10:00,8.70,,
87,23/05/02 03:20:00,8.71,,
88,23/05/02 03:30:00,8.68,,
89,23/05/02 03:40:00,8.71,,
90,23/05/02 03:50:00,8.67,,
91,23/05/02 04:00:00,8.71,,
92,23/05/02 04:10:00,8.67,,
93,23/05/02 04:20:00,9.14,,
94,23/05/02 04:30:00,9.19,,
95,23/05/02 04:40:00,9.36,,
96,23/05/02 04:50:00,9.38,,
97,23/05/02 05:00:00,9.50,,
98,23/05/02 05:10:00,9.69,,
99,23/05/02 05:20:00,9.84,,
100,23/05/02 05:30:00,9.97,,
101,23/05/02 05:40:00,9.91,,
102,23/05/02 05:50:00,9.86,,
103,23/05/02 06:00:00,9.86,,
104,23/05/02 06:10:00,9.82,,
105,23/05/02 06:20:00,9.84,,
106,23/05/02 06:30:00,9.91,,
