"Date","Site","Salinity","Code","lat","lon","Year","Month","Nights_Fished","Hours_Fished","Weather","Subsample","Metacarcinus_magister_megalopae","Metacarcinus_magister_instar","TotalMmagister","CPUE_Night","CPUE_Hour","Error_Code","week","loc.lat"
2025-04-28,"Tofino",28.2770588235294,"TOF",49.151969,-125.89702,"2025","Apr",2,19,"Rain","N",0,0,0,0,0,"None",17,"Tofino"
2025-04-30,"Indian Arm",7.89166666666667,"IND",49.461387,-122.88625,"2025","Apr",2,19,"Sunny","N",0,0,0,0,0,"None",18,"Indian Arm"
2025-04-30,"Pender Harbour",26.9053571428571,"PDH",49.623357,-124.02568,"2025","Apr",1,9.5,"Sunny","N",0,0,0,0,0,"None",18,"Pender Harbour"
2025-04-30,"Quathiaski Cove",29.4130434782609,"QUA",50.042604,-125.21604,"2025","Apr",2,19,"Sunny,Overcast","N",0,0,0,0,0,"None",18,"Quathiaski Cove"
2025-04-30,"Tofino",26.6864583333333,"TOF",49.151969,-125.89702,"2025","Apr",2,19,"Overcast","N",1,0,1,0.5,0.052631579,"None",18,"Tofino"
2025-05-02,"Pender Harbour",25.4525,"PDH",49.623357,-124.02568,"2025","May",1,9.5,"Sunny","N",0,0,0,0,0,"None",18,"Pender Harbour"
2025-05-02,"Port Moody",21.6079166666667,"MOO",49.30056,-122.87578,"2025","May",2,19,"Sunny","N",0,0,0,0,0,"None",18,"Port Moody"
2025-05-02,"Quathiaski Cove",29.3904166666667,"QUA",50.042604,-125.21604,"2025","May",2,19,"Overcast","N",0,0,0,0,0,"None",18,"Quathiaski Cove"
2025-05-02,"Tofino",24.85125,"TOF",49.151969,-125.89702,"2025","May",2,19,"Overcast","N",1,0,1,0.5,0.052631579,"None",18,"Tofino"
2025-05-03,"Ford Cove",28.6539583333333,"FOR",49.497028,-124.67667,"2025","May",1,2,"Sunny","N",0,0,0,0,0,"HRS",18,"Ford Cove"
2025-05-03,"Indian Arm",2.09416666666667,"IND",49.461387,-122.88625,"2025","May",3,28.5,"Sunny,Windy","N",0,0,0,0,0,"BAT",18,"Indian Arm"
2025-05-04,"Port Moody",22.1039583333333,"MOO",49.30056,-122.87578,"2025","May",2,19,"Sunny","N",0,0,0,0,0,"None",18,"Port Moody"
2025-05-04,"Silva Bay",25.7875,"SIL",49.149062,-123.69713,"2025","May",1,9.5,"Sunny,Windy","N",0,0,0,0,0,"None",18,"Silva Bay"
2025-05-05,"Indian Arm",13.805625,"IND",49.461387,-122.88625,"2025","May",2,19,"Sunny,Windy","N",0,0,0,0,0,"None",18,"Indian Arm"
2025-05-05,"Pender Harbour",26.4972916666667,"PDH",49.623357,-124.02568,"2025","May",1,9.5,"Overcast","N",0,0,0,0,0,"None",18,"Pender Harbour"
2025-05-05,"Quathiaski Cove",27.8727083333333,"QUA",50.042604,-125.21604,"2025","May",2,19,"Overcast","N",0,0,0,0,0,"None",18,"Quathiaski Cove"
2025-05-05,"Tofino",23.51375,"TOF",49.151969,-125.89702,"2025","May",2,19,"Sunny","N",1,0,1,0.5,0.052631579,"None",18,"Tofino"
