Number;Date-Time;Temp(°C);Salinity(psu);Conduct(mS/cm);Velocity(m/sec)
1;28.04.2025 00:00:00;21,75;0,01;0,00;1487,08
2;28.04.2025 00:30:00;21,63;0,01;0,00;1486,73
3;28.04.2025 01:00:00;21,49;0,01;0,00;1486,29
4;28.04.2025 01:30:00;21,37;0,01;0,00;1485,94
5;28.04.2025 02:00:00;21,28;0,02;0,03;1485,69
6;28.04.2025 02:30:00;21,19;0,02;0,03;1485,43
7;28.04.2025 03:00:00;21,11;0,02;0,03;1485,16
8;28.04.2025 03:30:00;21,02;0,02;0,03;1484,90
9;28.04.2025 04:00:00;20,93;0,02;0,03;1484,63
10;28.04.2025 04:30:00;20,84;0,01;0,00;1484,35
11;28.04.2025 05:00:00;20,76;0,01;0,00;1484,08
12;28.04.2025 05:30:00;20,70;0,02;0,03;1483,92
13;28.04.2025 06:00:00;20,61;0,01;0,00;1483,64
14;28.04.2025 06:30:00;20,52;0,02;0,03;1483,38
15;28.04.2025 07:00:00;20,49;0,02;0,03;1483,29
16;28.04.2025 07:30:00;20,49;0,01;0,00;1483,28
17;28.04.2025 08:00:00;20,55;0,01;0,00;1483,46
18;28.04.2025 08:30:00;20,64;0,01;0,00;1483,73
19;28.04.2025 09:00:00;20,73;0,01;0,00;1483,99
20;28.04.2025 09:30:00;20,82;0,02;0,03;1484,27
21;28.04.2025 10:00:00;20,84;0,01;0,00;1484,35
22;28.04.2025 10:30:00;20,87;0,01;0,00;1484,44
23;28.04.2025 11:00:00;20,90;0,01;0,00;1484,53
24;28.04.2025 11:30:00;20,93;0,01;0,00;1484,62
25;28.04.2025 12:00:00;20,96;0,01;0,00;1484,71
26;28.04.2025 12:30:00;20,96;0,01;0,00;1484,71
27;28.04.2025 13:00:00;20,93;0,01;0,00;1484,62
28;28.04.2025 13:30:00;20,93;0,02;0,03;1484,63
29;28.04.2025 14:00:00;20,90;0,01;0,00;1484,53
30;28.04.2025 14:30:00;20,93;0,01;0,00;1484,62
31;28.04.2025 15:00:00;20,93;0,01;0,00;1484,62
32;28.04.2025 15:30:00;20,93;0,01;0,00;1484,62
33;28.04.2025 16:00:00;20,93;0,01;0,00;1484,62
34;28.04.2025 16:30:00;20,87;0,01;0,00;1484,44
35;28.04.2025 17:00:00;20,82;0,01;0,00;1484,26
36;28.04.2025 17:30:00;20,79;0,01;0,00;1484,17
37;28.04.2025 18:00:00;20,73;0,02;0,03;1484,01
38;28.04.2025 18:30:00;20,67;0,02;0,03;1483,83
39;28.04.2025 19:00:00;20,58;0,02;0,03;1483,56
40;28.04.2025 19:30:00;20,49;0,01;0,00;1483,28
41;28.04.2025 20:00:00;20,43;0,01;0,00;1483,10
42;28.04.2025 20:30:00;20,41;0,01;0,00;1483,01
43;28.04.2025 21:00:00;20,29;0,01;0,00;1482,64
44;28.04.2025 21:30:00;20,17;0,01;0,00;1482,28
45;28.04.2025 22:00:00;20,08;0,02;0,03;1482,02
46;28.04.2025 22:30:00;20,11;0,01;0,00;1482,10
47;28.04.2025 23:00:00;20,11;0,01;0,00;1482,10
48;28.04.2025 23:30:00;20,11;0,01;0,00;1482,10
49;29.04.2025 00:00:00;20,11;0,01;0,00;1482,10
