"Number","Date-Time","Temp(°C)","Salinity(psu)","Conduct(mS/cm)","Velocity(m/sec)"
1,"28-04-2025 00:00:00",19.2,0.01,0,1479.22
2,"28-04-2025 00:30:00",19.17,0.01,0.01,1479.13
3,"28-04-2025 01:00:00",19.08,0.01,0.01,1478.85
4,"28-04-2025 01:30:00",19.02,0.01,0,1478.66
5,"28-04-2025 02:00:00",18.99,0.01,0.01,1478.57
6,"28-04-2025 02:30:00",18.93,0.01,0.01,1478.38
7,"28-04-2025 03:00:00",18.9,0.01,0,1478.28
8,"28-04-2025 03:30:00",18.87,0.01,0.01,1478.19
9,"28-04-2025 04:00:00",18.87,0.01,0.01,1478.19
10,"28-04-2025 04:30:00",18.84,0.01,0,1478.09
11,"28-04-2025 05:00:00",18.81,0.01,0,1478
12,"28-04-2025 05:30:00",18.84,0.01,0,1478.09
13,"28-04-2025 06:00:00",18.87,0.01,0,1478.19
14,"28-04-2025 06:30:00",18.9,0.01,0.01,1478.29
15,"28-04-2025 07:00:00",18.96,0.01,0.01,1478.47
16,"28-04-2025 07:30:00",19.02,0.01,0.01,1478.66
17,"28-04-2025 08:00:00",19.17,0.01,0.01,1479.13
18,"28-04-2025 08:30:00",19.37,0.01,0,1479.78
19,"28-04-2025 09:00:00",19.34,0.01,0.01,1479.69
20,"28-04-2025 09:30:00",19.11,0.01,0.01,1478.94
21,"28-04-2025 10:00:00",18.25,0.01,0,1476.18
22,"28-04-2025 10:30:00",15.16,0.01,0,1465.73
23,"28-04-2025 11:00:00",13.49,0.01,0.01,1459.78
24,"28-04-2025 11:30:00",12.71,0.01,0,1456.9
25,"28-04-2025 12:00:00",12.4,0.01,0,1455.73
26,"28-04-2025 12:30:00",12.21,0.01,0.01,1455.02
27,"28-04-2025 13:00:00",12.02,0.01,0,1454.3
28,"28-04-2025 13:30:00",11.89,0.01,0,1453.82
29,"28-04-2025 14:00:00",11.79,0.01,0.01,1453.46
30,"28-04-2025 14:30:00",11.7,0.01,0.01,1453.1
31,"28-04-2025 15:00:00",11.67,0.01,0,1452.97
32,"28-04-2025 15:30:00",11.7,0.01,0,1453.09
33,"28-04-2025 16:00:00",14.7,0.01,0,1464.11
34,"28-04-2025 16:30:00",14.51,0.01,0,1463.46
35,"28-04-2025 17:00:00",11.98,0.13,0.2,1454.33
36,"28-04-2025 17:30:00",9.53,0.29,0.43,1444.97
37,"28-04-2025 18:00:00",9.63,0.29,0.43,1445.36
38,"28-04-2025 18:30:00",9.56,0.27,0.4,1445.08
39,"28-04-2025 19:00:00",9.76,0.35,0.51,1445.96
40,"28-04-2025 19:30:00",10.18,0.39,0.57,1447.69
41,"28-04-2025 20:00:00",10.48,0.43,0.62,1448.89
42,"28-04-2025 20:30:00",10.28,0.41,0.59,1448.1
43,"28-04-2025 21:00:00",9.95,0.35,0.51,1446.74
44,"28-04-2025 21:30:00",10.74,0.52,0.76,1450.02
45,"28-04-2025 22:00:00",8.76,0.22,0.31,1441.79
46,"28-04-2025 22:30:00",8.66,0.24,0.34,1441.41
47,"28-04-2025 23:00:00",8.46,0.22,0.31,1440.56
48,"28-04-2025 23:30:00",8.83,0.3,0.43,1442.16
49,"29-04-2025 00:00:00",8.96,0.28,0.4,1442.68
50,"29-04-2025 00:30:00",8.9,0.3,0.43,1442.44
51,"29-04-2025 01:00:00",10.61,0.65,0.93,1449.67
52,"29-04-2025 01:30:00",11.28,0.73,1.07,1452.39
53,"29-04-2025 02:00:00",12.05,0.89,1.31,1455.49
54,"29-04-2025 02:30:00",12.05,0.91,1.34,1455.52
55,"29-04-2025 03:00:00",11.86,0.84,1.24,1454.72
56,"29-04-2025 03:30:00",11.95,1.01,1.48,1455.28
57,"29-04-2025 04:00:00",12.55,1.11,1.65,1457.66
58,"29-04-2025 04:30:00",12.96,1.16,1.73,1459.23
59,"29-04-2025 05:00:00",12.55,1.11,1.65,1457.66
60,"29-04-2025 05:30:00",12.81,1.13,1.68,1458.61
61,"29-04-2025 06:00:00",12.74,1.15,1.71,1458.4
62,"29-04-2025 06:30:00",12.99,1.2,1.79,1459.39
63,"29-04-2025 07:00:00",11.25,0.93,1.34,1452.51
64,"29-04-2025 07:30:00",9.59,0.68,0.96,1445.72
65,"29-04-2025 08:00:00",10.38,0.81,1.16,1448.99
66,"29-04-2025 08:30:00",10.64,0.92,1.31,1450.13
67,"29-04-2025 09:00:00",11.86,1.13,1.65,1455.07
68,"29-04-2025 09:30:00",11.19,1.03,1.48,1452.39
69,"29-04-2025 10:00:00",9.36,0.63,0.88,1444.72
70,"29-04-2025 10:30:00",9.66,0.6,0.85,1445.88
71,"29-04-2025 11:00:00",9.79,0.64,0.9,1446.45
72,"29-04-2025 11:30:00",10.54,0.85,1.21,1449.67
73,"29-04-2025 12:00:00",10.31,0.77,1.1,1448.68
74,"29-04-2025 12:30:00",10.25,0.75,1.07,1448.4
75,"29-04-2025 13:00:00",12.52,1.3,1.9,1457.76
76,"29-04-2025 13:30:00",11.44,1,1.45,1453.34
77,"29-04-2025 14:00:00",12.33,1.16,1.7,1456.89
78,"29-04-2025 14:30:00",12.62,1.25,1.85,1458.06
79,"29-04-2025 15:00:00",12.59,1.25,1.85,1457.94
80,"29-04-2025 15:30:00",12.87,1.31,1.93,1459.05
81,"29-04-2025 16:00:00",12.74,1.29,1.9,1458.57
82,"29-04-2025 16:30:00",11.63,0.96,1.39,1454.01
83,"29-04-2025 17:00:00",11.7,1.06,1.53,1454.38
84,"29-04-2025 17:30:00",13.02,1.34,1.99,1459.67
85,"29-04-2025 18:00:00",12.9,16.56,20.73,1477.6
86,"29-04-2025 18:30:00",12.87,14.6,18.46,1475.12
87,"29-04-2025 19:00:00",13.09,15.66,19.78,1477.17
88,"29-04-2025 19:30:00",12.93,15.48,19.5,1476.4
89,"29-04-2025 20:00:00",12.68,14.53,18.28,1474.35
90,"29-04-2025 20:30:00",11.63,10.39,13.09,1465.53
91,"29-04-2025 21:00:00",12.11,12.74,15.98,1470.14
92,"29-04-2025 21:30:00",12.27,12.66,15.95,1470.62
93,"29-04-2025 22:00:00",12.24,12.99,16.32,1470.91
94,"29-04-2025 22:30:00",10.12,8.47,10.43,1457.43
95,"29-04-2025 23:00:00",10.48,9.5,11.7,1460.07
96,"29-04-2025 23:30:00",11.47,10.19,12.8,1464.69
97,"30-04-2025 00:00:00",10.35,7.22,9.05,1456.77
98,"30-04-2025 00:30:00",10.99,9.92,12.34,1462.55
99,"30-04-2025 01:00:00",10.31,10.35,12.62,1460.5
100,"30-04-2025 01:30:00",10.35,8.25,10.23,1458.03
101,"30-04-2025 02:00:00",10.86,9.45,11.76,1461.49
102,"30-04-2025 02:30:00",10.61,9.62,11.87,1460.71
103,"30-04-2025 03:00:00",12.05,13.03,16.29,1470.26
104,"30-04-2025 03:30:00",11.83,11.45,14.38,1467.52
105,"30-04-2025 04:00:00",12.46,13.24,16.7,1472
106,"30-04-2025 04:30:00",12.74,14.01,17.72,1473.96
107,"30-04-2025 05:00:00",12.87,14.46,18.29,1474.94
108,"30-04-2025 05:30:00",12.52,14.29,17.94,1473.51
109,"30-04-2025 06:00:00",12.65,14.02,17.69,1473.64
110,"30-04-2025 06:30:00",12.62,14.04,17.69,1473.54
111,"30-04-2025 07:00:00",12.46,13.8,17.35,1472.68
112,"30-04-2025 07:30:00",8.76,8.24,9.81,1451.82
113,"30-04-2025 08:00:00",9,6.42,7.83,1450.48
114,"30-04-2025 08:30:00",9.43,7.94,9.65,1454.08
115,"30-04-2025 09:00:00",10.08,9.49,11.58,1458.57
116,"30-04-2025 09:30:00",10.35,12.83,15.39,1463.68
117,"30-04-2025 10:00:00",10.83,11.42,14,1463.79
118,"30-04-2025 10:30:00",12.11,14.94,18.5,1472.81
119,"30-04-2025 11:00:00",10.12,8.52,10.49,1457.49
120,"30-04-2025 11:30:00",10.22,7.62,9.48,1456.76
121,"30-04-2025 12:00:00",10.35,6.24,7.9,1455.55
122,"30-04-2025 12:30:00",10.25,5.77,7.32,1454.59
123,"30-04-2025 13:00:00",10.77,7.41,9.37,1458.62
124,"30-04-2025 13:30:00",10.57,4.69,6.08,1454.52
125,"30-04-2025 14:00:00",10.51,4.63,6,1454.19
126,"30-04-2025 14:30:00",10.83,3.66,4.85,1454.25
127,"30-04-2025 15:00:00",11.06,3.96,5.25,1455.48
128,"30-04-2025 15:30:00",11.12,5.19,6.78,1457.24
129,"30-04-2025 16:00:00",11.12,4.27,5.66,1456.12
130,"30-04-2025 16:30:00",11.38,4.55,6.03,1457.43
131,"30-04-2025 17:00:00",11.12,3.74,5,1455.47
132,"30-04-2025 17:30:00",11.44,3.8,5.11,1456.76
133,"30-04-2025 18:00:00",11.7,4.14,5.57,1458.14
134,"30-04-2025 18:30:00",11.83,4.52,6.06,1459.07
135,"30-04-2025 19:00:00",11.95,4.68,6.29,1459.75
136,"30-04-2025 19:30:00",12.05,4.95,6.64,1460.43
137,"30-04-2025 20:00:00",11.95,4.91,6.58,1460.03
138,"30-04-2025 20:30:00",11.95,4.8,6.44,1459.89
139,"30-04-2025 21:00:00",12.05,4.88,6.55,1460.35
140,"30-04-2025 21:30:00",11.95,4.75,6.38,1459.84
141,"30-04-2025 22:00:00",11.83,5.12,6.81,1459.8
142,"30-04-2025 22:30:00",11.86,6.37,8.37,1461.46
143,"30-04-2025 23:00:00",11.03,3.98,5.28,1455.39
144,"30-04-2025 23:30:00",10.57,3.22,4.28,1452.71
145,"01-05-2025 00:00:00",10.35,5.34,6.83,1454.44
146,"01-05-2025 00:30:00",10.08,5.99,7.55,1454.23
147,"01-05-2025 01:00:00",9.92,5.74,7.23,1453.29
148,"01-05-2025 01:30:00",10.67,6.8,8.62,1457.49
149,"01-05-2025 02:00:00",11.25,8.08,10.27,1461.26
150,"01-05-2025 02:30:00",9.86,4.68,5.96,1451.72
151,"01-05-2025 03:00:00",11.35,9.23,11.65,1463.04
152,"01-05-2025 03:30:00",11.83,10.19,12.92,1465.99
153,"01-05-2025 04:00:00",12.05,10.57,13.44,1467.27
154,"01-05-2025 04:30:00",12.08,10.88,13.81,1467.77
155,"01-05-2025 05:00:00",12.14,10.86,13.81,1467.98
156,"01-05-2025 05:30:00",12.49,12.08,15.36,1470.71
157,"01-05-2025 06:00:00",12.65,12.95,16.44,1472.34
158,"01-05-2025 06:30:00",12.65,12.9,16.39,1472.28
159,"01-05-2025 07:00:00",12.27,11.78,14.93,1469.55
160,"01-05-2025 07:30:00",12.11,11.68,14.75,1468.85
161,"01-05-2025 08:00:00",12.36,12.04,15.27,1470.21
162,"01-05-2025 08:30:00",12.21,11.16,14.18,1468.57
163,"01-05-2025 09:00:00",11.6,11.19,14.01,1466.39
164,"01-05-2025 09:30:00",10.51,8.63,10.72,1459.13
165,"01-05-2025 10:00:00",10.57,8.07,10.09,1458.69
166,"01-05-2025 10:30:00",11.86,13.14,16.35,1469.71
167,"01-05-2025 11:00:00",11.98,14.84,18.33,1472.23
168,"01-05-2025 11:30:00",12.65,16.5,20.53,1476.63
169,"01-05-2025 12:00:00",12.55,14.7,18.42,1474.11
170,"01-05-2025 12:30:00",11.38,9.87,12.4,1463.93
171,"01-05-2025 13:00:00",11.41,8.46,10.76,1462.33
172,"01-05-2025 13:30:00",11.47,7.54,9.69,1461.45
173,"01-05-2025 14:00:00",11.38,7.32,9.4,1460.82
174,"01-05-2025 14:30:00",12.33,12.49,15.78,1470.65
175,"01-05-2025 15:00:00",12.68,13.04,16.56,1472.56
176,"01-05-2025 15:30:00",12.36,11.46,14.59,1469.5
177,"01-05-2025 16:00:00",12.4,12.08,15.33,1470.38
178,"01-05-2025 16:30:00",12.96,13.36,17.04,1473.95
179,"01-05-2025 17:00:00",13.12,14.22,18.12,1475.54
180,"01-05-2025 17:30:00",12.81,13.19,16.78,1473.19
181,"01-05-2025 18:00:00",12.62,12.96,16.44,1472.24
182,"01-05-2025 18:30:00",13.02,16.27,20.45,1477.68
183,"01-05-2025 19:00:00",13.15,17.94,22.44,1480.14
184,"01-05-2025 19:30:00",13.09,18.97,23.58,1481.16
185,"01-05-2025 20:00:00",13.09,18.55,23.1,1480.66
186,"01-05-2025 20:30:00",13.12,16.93,21.27,1478.81
187,"01-05-2025 21:00:00",13.18,16.2,20.46,1478.15
188,"01-05-2025 21:30:00",12.99,15.26,19.27,1476.35
189,"01-05-2025 22:00:00",13.15,18.45,23.02,1480.75
190,"01-05-2025 22:30:00",13.18,16.4,20.68,1478.39
191,"01-05-2025 23:00:00",11.79,13.59,16.83,1470.02
192,"01-05-2025 23:30:00",10.99,11.93,14.63,1465.02
193,"02-05-2025 00:00:00",11.44,17.15,20.66,1473.08
194,"02-05-2025 00:30:00",10.28,9.57,11.73,1459.42
195,"02-05-2025 01:00:00",11.63,13.8,17,1469.68
196,"02-05-2025 01:30:00",10.8,12.65,15.37,1465.18
197,"02-05-2025 02:00:00",9.39,9.23,11.09,1455.56
198,"02-05-2025 02:30:00",10.54,13.2,15.88,1464.88
199,"02-05-2025 03:00:00",9.99,9.52,11.58,1458.22
200,"02-05-2025 03:30:00",11.03,11.01,13.6,1464.01
201,"02-05-2025 04:00:00",9.89,9.08,11.06,1457.3
202,"02-05-2025 04:30:00",10.99,13.7,16.62,1467.19
203,"02-05-2025 05:00:00",10.9,11.73,14.37,1464.41
204,"02-05-2025 05:30:00",10.99,12.86,15.68,1466.17
205,"02-05-2025 06:00:00",11.44,13.71,16.83,1468.88
206,"02-05-2025 06:30:00",11.73,14.69,18.05,1471.12
207,"02-05-2025 07:00:00",11.12,13.75,16.74,1467.74
208,"02-05-2025 07:30:00",11.41,15.09,18.35,1470.44
209,"02-05-2025 08:00:00",11.38,15.5,18.8,1470.83
210,"02-05-2025 08:30:00",10.28,12.13,14.59,1462.57
211,"02-05-2025 09:00:00",10.86,13.77,16.65,1466.8
212,"02-05-2025 09:30:00",11.09,14.38,17.42,1468.38
213,"02-05-2025 10:00:00",9.16,7.61,9.21,1452.62
214,"02-05-2025 10:30:00",10.38,11.12,13.51,1461.7
215,"02-05-2025 11:00:00",11.12,13.05,15.94,1466.87
216,"02-05-2025 11:30:00",12.02,16.69,20.44,1474.61
217,"02-05-2025 12:00:00",12.43,19.09,23.34,1478.99
218,"02-05-2025 12:30:00",12.52,19.37,23.71,1479.66
219,"02-05-2025 13:00:00",11.31,8.48,10.76,1462
220,"02-05-2025 13:30:00",12.24,5.27,7.07,1461.53
221,"02-05-2025 14:00:00",12.14,5.03,6.75,1460.88
222,"02-05-2025 14:30:00",12.02,4.38,5.92,1459.62
223,"02-05-2025 15:00:00",12.14,3.94,5.37,1459.56
224,"02-05-2025 15:30:00",12.3,4.46,6.06,1460.78
225,"02-05-2025 16:00:00",11.98,2.34,3.29,1457.02
226,"02-05-2025 16:30:00",12.62,5.31,7.19,1462.97
227,"02-05-2025 17:00:00",12.3,3.01,4.2,1459.02
228,"02-05-2025 17:30:00",12.3,2.54,3.57,1458.45
229,"02-05-2025 18:00:00",12.17,2.74,3.83,1458.22
230,"02-05-2025 18:30:00",12.74,4.93,6.73,1462.97
231,"02-05-2025 19:00:00",12.62,4.49,6.15,1461.98
232,"02-05-2025 19:30:00",12.36,4.21,5.75,1460.7
233,"02-05-2025 20:00:00",12.93,6,8.11,1464.95
234,"02-05-2025 20:30:00",13.31,6.49,8.81,1466.9
235,"02-05-2025 21:00:00",13.34,6.53,8.87,1467.06
236,"02-05-2025 21:30:00",12.87,5.59,7.59,1464.23
237,"02-05-2025 22:00:00",12.62,5.77,7.77,1463.53
238,"02-05-2025 22:30:00",12.4,5.94,7.94,1462.92
239,"02-05-2025 23:00:00",12.49,9.3,12.06,1467.34
240,"02-05-2025 23:30:00",11.25,7.71,9.83,1460.81
241,"03-05-2025 00:00:00",11.44,6.56,8.51,1460.14
242,"03-05-2025 00:30:00",10.15,3.37,4.42,1451.25
243,"03-05-2025 01:00:00",10.35,4.74,6.11,1453.7
244,"03-05-2025 01:30:00",10.64,5.08,6.57,1455.26
245,"03-05-2025 02:00:00",11.09,6.19,7.99,1458.35
246,"03-05-2025 02:30:00",10.12,3.68,4.79,1451.5
247,"03-05-2025 03:00:00",9.79,3.59,4.65,1450.11
248,"03-05-2025 03:30:00",9.76,3.97,5.1,1450.45
249,"03-05-2025 04:00:00",9.43,3.15,4.07,1448.13
250,"03-05-2025 04:30:00",10.12,4.36,5.62,1452.35
251,"03-05-2025 05:00:00",9.33,2.9,3.76,1447.42
252,"03-05-2025 05:30:00",9.99,3.67,4.76,1450.98
253,"03-05-2025 06:00:00",9.69,3.84,4.93,1450.03
254,"03-05-2025 06:30:00",8.9,2.12,2.77,1444.71
255,"03-05-2025 07:00:00",8.86,1.67,2.2,1444.01
256,"03-05-2025 07:30:00",9.2,2.22,2.91,1446.04
257,"03-05-2025 08:00:00",8.76,1.52,2,1443.41
258,"03-05-2025 08:30:00",8.83,1.54,2.03,1443.71
259,"03-05-2025 09:00:00",8.66,1.27,1.69,1442.7
260,"03-05-2025 09:30:00",8.56,1.12,1.5,1442.1
261,"03-05-2025 10:00:00",8.49,0.97,1.3,1441.64
262,"03-05-2025 10:30:00",8.53,1.04,1.39,1441.86
263,"03-05-2025 11:00:00",8.63,1.03,1.39,1442.26
264,"03-05-2025 11:30:00",8.9,1.16,1.55,1443.51
265,"03-05-2025 12:00:00",9.06,1.28,1.72,1444.34
266,"03-05-2025 12:30:00",9.26,1.41,1.89,1445.29
267,"03-05-2025 13:00:00",9.53,1.18,1.61,1446.07
268,"03-05-2025 13:30:00",9.59,1.11,1.53,1446.25
269,"03-05-2025 14:00:00",9.95,1.32,1.81,1447.94
270,"03-05-2025 14:30:00",10.15,1.29,1.78,1448.68
271,"03-05-2025 15:00:00",10.22,1.29,1.78,1448.93
272,"03-05-2025 15:30:00",10.31,1.35,1.87,1449.39
273,"03-05-2025 16:00:00",10.28,1.35,1.87,1449.26
274,"03-05-2025 16:30:00",10.38,1.32,1.84,1449.62
275,"03-05-2025 17:00:00",10.51,1.45,2.01,1450.28
276,"03-05-2025 17:30:00",10.48,1.49,2.07,1450.2
277,"03-05-2025 18:00:00",10.38,1.5,2.06,1449.83
278,"03-05-2025 18:30:00",10.25,1.5,2.06,1449.32
279,"03-05-2025 19:00:00",9.82,1.34,1.84,1447.45
280,"03-05-2025 19:30:00",9.82,1.37,1.87,1447.48
281,"03-05-2025 20:00:00",9.79,1.39,1.89,1447.38
282,"03-05-2025 20:30:00",9.39,1.25,1.7,1445.63
283,"03-05-2025 21:00:00",9.16,1.13,1.53,1444.54
284,"03-05-2025 21:30:00",9.03,1.11,1.5,1443.99
285,"03-05-2025 22:00:00",8.96,1.05,1.42,1443.64
286,"03-05-2025 22:30:00",8.53,0.75,1.02,1441.49
287,"03-05-2025 23:00:00",8.39,0.73,0.99,1440.92
288,"03-05-2025 23:30:00",8.26,0.8,1.07,1440.45
289,"04-05-2025 00:00:00",8.8,0.98,1.33,1442.88
290,"04-05-2025 00:30:00",7.99,0.78,1.04,1439.31
291,"04-05-2025 01:00:00",7.78,0.68,0.9,1438.33
292,"04-05-2025 01:30:00",7.65,3.88,4.72,1441.81
293,"04-05-2025 02:00:00",9.1,5.57,6.88,1449.82
294,"04-05-2025 02:30:00",9.46,6.79,8.35,1452.78
295,"04-05-2025 03:00:00",9,5.44,6.71,1449.25
296,"04-05-2025 03:30:00",9.16,6.04,7.43,1450.66
297,"04-05-2025 04:00:00",8.66,5.03,6.19,1447.41
298,"04-05-2025 04:30:00",9.13,6.02,7.4,1450.51
299,"04-05-2025 05:00:00",13.12,14.61,18.57,1476.01
300,"04-05-2025 05:30:00",12.65,14.37,18.09,1474.05
301,"04-05-2025 06:00:00",13.37,16.13,20.46,1478.72
