"Number","Date-Time","Temp(°C)","Salinity(psu)","Conduct(mS/cm)","Velocity(m/sec)"
1,"28-04-2025 00:00:00",21.09,0.01,0,1485.11
2,"28-04-2025 00:30:00",21.15,0.01,0,1485.28
3,"28-04-2025 01:00:00",21.18,0.01,0,1485.37
4,"28-04-2025 01:30:00",21.21,0.01,0,1485.46
5,"28-04-2025 02:00:00",21.21,0.01,0,1485.46
6,"28-04-2025 02:30:00",21.21,0.01,0,1485.46
7,"28-04-2025 03:00:00",21.21,0.01,0,1485.46
8,"28-04-2025 03:30:00",21.18,0.01,0,1485.37
9,"28-04-2025 04:00:00",21.15,0.01,0,1485.28
10,"28-04-2025 04:30:00",21.12,0.01,0,1485.19
11,"28-04-2025 05:00:00",21.09,0.01,0,1485.11
12,"28-04-2025 05:30:00",21.06,0.01,0,1485.02
13,"28-04-2025 06:00:00",21.03,0.01,0,1484.93
14,"28-04-2025 06:30:00",21.01,0.01,0,1484.84
15,"28-04-2025 07:00:00",20.98,0.01,0,1484.75
16,"28-04-2025 07:30:00",20.95,0.01,0,1484.66
17,"28-04-2025 08:00:00",20.92,0.01,0,1484.57
18,"28-04-2025 08:30:00",20.92,0.01,0,1484.57
19,"28-04-2025 09:00:00",20.92,0.01,0,1484.57
20,"28-04-2025 09:30:00",20.92,0.01,0,1484.57
21,"28-04-2025 10:00:00",20.92,0.01,0,1484.57
22,"28-04-2025 10:30:00",20.92,0.01,0,1484.57
23,"28-04-2025 11:00:00",20.89,0.01,0,1484.48
24,"28-04-2025 11:30:00",20.86,0.01,0,1484.39
25,"28-04-2025 12:00:00",20.45,0.01,0,1483.14
26,"28-04-2025 12:30:00",20.07,0.01,0,1481.96
27,"28-04-2025 13:00:00",19.71,0.01,0,1480.85
28,"28-04-2025 13:30:00",19.54,0.01,0,1480.3
29,"28-04-2025 14:00:00",19.51,0.01,0,1480.21
30,"28-04-2025 14:30:00",19.54,0.01,0,1480.3
31,"28-04-2025 15:00:00",19.62,0.01,0,1480.58
32,"28-04-2025 15:30:00",19.68,0.01,0,1480.76
33,"28-04-2025 16:00:00",19.68,0.01,0,1480.76
34,"28-04-2025 16:30:00",19.71,0.01,0,1480.85
35,"28-04-2025 17:00:00",19.68,0.01,0,1480.76
36,"28-04-2025 17:30:00",19.57,0.01,0,1480.39
37,"28-04-2025 18:00:00",19.27,0.01,0,1479.46
