"Number","Date-Time","Temp(°C)","Salinity(psu)","Conduct(mS/cm)","Velocity(m/sec)"
1,"28-04-2025 00:00:00",22.19,0.01,0,1488.38
2,"28-04-2025 00:30:00",21.96,0.01,0,1487.69
3,"28-04-2025 01:00:00",20.67,0.01,0,1483.81
4,"28-04-2025 01:30:00",19.34,0.01,0,1479.69
5,"28-04-2025 02:00:00",18.19,0.01,0,1475.97
6,"28-04-2025 02:30:00",17.26,0.01,0,1472.92
7,"28-04-2025 03:00:00",16.48,0.01,0,1470.28
8,"28-04-2025 03:30:00",15.69,0.01,0,1467.58
9,"28-04-2025 04:00:00",15.14,0.01,0,1465.66
10,"28-04-2025 04:30:00",15.56,0.01,0,1467.15
11,"28-04-2025 05:00:00",16.84,0.01,0,1471.51
12,"28-04-2025 05:30:00",16.44,0.01,0,1470.18
13,"28-04-2025 06:00:00",15.63,0.01,0,1467.37
14,"28-04-2025 06:30:00",14.83,0.01,0,1464.58
15,"28-04-2025 07:00:00",14.09,0.01,0,1461.94
16,"28-04-2025 07:30:00",14.55,0.01,0,1463.6
17,"28-04-2025 08:00:00",15.35,0.01,0,1466.41
18,"28-04-2025 08:30:00",16.35,0.01,0,1469.87
19,"28-04-2025 09:00:00",17.08,0.01,0,1472.32
20,"28-04-2025 09:30:00",17.53,0.01,0,1473.81
21,"28-04-2025 10:00:00",18.07,0.01,0,1475.58
22,"28-04-2025 10:30:00",18.51,0.01,0,1477.03
23,"28-04-2025 11:00:00",18.78,0.01,0,1477.89
24,"28-04-2025 11:30:00",18.96,0.01,0,1478.46
25,"28-04-2025 12:00:00",18.19,0.01,0,1475.97
26,"28-04-2025 12:30:00",16.38,0.01,0,1469.97
27,"28-04-2025 13:00:00",14.98,0.01,0,1465.12
28,"28-04-2025 13:30:00",14.15,0.01,0,1462.16
29,"28-04-2025 14:00:00",14.21,0.01,0,1462.38
30,"28-04-2025 14:30:00",15.35,0.01,0,1466.41
31,"28-04-2025 15:00:00",16.17,0.01,0,1469.25
32,"28-04-2025 15:30:00",16.69,0.01,0,1471
33,"28-04-2025 16:00:00",17.11,0.01,0,1472.42
34,"28-04-2025 16:30:00",17.38,0.01,0,1473.32
35,"28-04-2025 17:00:00",17.56,0.01,0,1473.91
36,"28-04-2025 17:30:00",17.65,0.01,0,1474.21
37,"28-04-2025 18:00:00",17.65,0.01,0,1474.21
38,"28-04-2025 18:30:00",17.56,0.01,0,1473.91
39,"28-04-2025 19:00:00",17.44,0.01,0,1473.52
40,"28-04-2025 19:30:00",17.29,0.01,0,1473.02
41,"28-04-2025 20:00:00",17.38,0.01,0,1473.32
42,"28-04-2025 20:30:00",17.62,0.01,0,1474.11
43,"28-04-2025 21:00:00",17.26,0.01,0,1472.92
44,"28-04-2025 21:30:00",16.66,0.01,0,1470.9
45,"28-04-2025 22:00:00",16.02,0.01,0,1468.73
46,"28-04-2025 22:30:00",16.63,0.01,0,1470.8
47,"28-04-2025 23:00:00",17.2,0.01,0,1472.72
48,"28-04-2025 23:30:00",17.74,0.01,0,1474.51
49,"29-04-2025 00:00:00",18.19,0.01,0,1475.97
50,"29-04-2025 00:30:00",18.42,0.01,0,1476.74
51,"29-04-2025 01:00:00",18.42,0.01,0,1476.75
52,"29-04-2025 01:30:00",18.25,0.01,0,1476.17
53,"29-04-2025 02:00:00",18.04,0.01,0,1475.49
54,"29-04-2025 02:30:00",17.95,0.01,0,1475.19
55,"29-04-2025 03:00:00",18.01,0.01,0,1475.39
56,"29-04-2025 03:30:00",18.22,0.01,0,1476.07
57,"29-04-2025 04:00:00",18.39,0.01,0,1476.65
58,"29-04-2025 04:30:00",18.57,0.01,0,1477.23
59,"29-04-2025 05:00:00",18.75,0.01,0,1477.8
60,"29-04-2025 05:30:00",18.87,0.01,0,1478.18
