station_name,station,associated_survey,commissioned_time,decomissioned_time,status,deployment,fixed_depth,serial_number,logger_type,latitude,longitude,db_table,table_type
Cortes Bay,cortes_bay,Sentinels of Change,2022-04-15,,Decomissioned until 2023,suspended from floating dock on a rope,0.5,21153572,tidbit MX 2203,50.06104,-124.929541,sentinel_temp_cortes_bay,temperature
Cowichan Bay,cowichan_bay,Sentinels of Change,2022-04-15,,Decomissioned until 2023,suspended from floating dock on a rope,0.5,,tidbit MX 2203,48.743411,-123.627967,sentinel_temp_cowichan_bay,temperature
Descanso Bay,descanso_bay,Sentinels of Change,2022-04-15,,Decomissioned until 2023,suspended from floating dock on a rope,0.5,21291010,tidbit MX 2203,49.177887,-123.858146,sentinel_temp_descanso_bay,temperature
False Bay,false_bay,Sentinels of Change,2022-04-15,,Decomissioned until 2023,suspended from floating dock on a rope,0.5,21234319,tidbit MX 2203,49.486124,-124.359048,sentinel_temp_false_bay,temperature
Ford Cove,ford_cove,Sentinels of Change,2022-04-15,,Decomissioned until 2023,suspended from floating dock on a rope,0.5,21234321,tidbit MX 2203,49.497028,-124.676667,sentinel_temp_ford_cove,temperature
Heather Marina,heather_marina,Sentinels of Change,2022-04-15,,Decomissioned until 2023,suspended from floating dock on a rope,0.5,21255251,tidbit MX 2203,49.269518,-123.120009,sentinel_temp_heather_marina,temperature
Heriot Bay,heriot_bay,Sentinels of Change,2022-04-15,,Decomissioned until 2023,suspended from floating dock on a rope,0.5,21234298,tidbit MX 2203,50.102299,-125.201637,sentinel_temp_heriot_bay,temperature
Hope Bay,hope_bay,Sentinels of Change,2022-04-15,,Decomissioned until 2023,suspended from floating dock on a rope,0.5,21291013,tidbit MX 2203,48.803253,-123.275209,sentinel_temp_hope_bay,temperature
Horseshoe Bay,horseshoe_bay,Sentinels of Change,2022-04-15,,Decomissioned until 2023,suspended from floating dock on a rope,0.5,21234331,tidbit MX 2203,49.375655,-123.273128,sentinel_temp_horseshoe_bay,temperature
Institute of Ocean Sciences,IOS,Sentinels of Change,2022-04-15,,Decomissioned until 2023,suspended from floating dock on a rope,0.5,,tidbit MX 2203,48.652354,-123.449674,sentinel_temp_ios,temperature
Miners Bay,miners_bay,Sentinels of Change,2022-04-15,,Decomissioned until 2023,suspended from floating dock on a rope,0.5,21291004,tidbit MX 2203,48.852116,-123.301532,sentinel_temp_miners_bay,temperature
Pacific Biological Station,PBS,Sentinels of Change,2022-04-15,,Decomissioned until 2023,suspended from floating dock on a rope,0.5,,tidbit MX 2203,49.210394,-123.956589,sentinel_temp_pbs,temperature
Pacific Science Enterprise Centre,PSEC,Sentinels of Change,2022-04-15,,Decomissioned until 2023,suspended from floating dock on a rope,0.5,21153573,tidbit MX 2203,49.340105,-123.232975,sentinel_temp_psec,temperature
Retreat Cove,retreat_cove,Sentinels of Change,2022-04-15,,Decomissioned until 2023,"suspended from floating dock on a rope, sank at one point during the season",0.5,21291006,tidbit MX 2203,48.940555,-123.501321,sentinel_temp_retreat_cove,temperature
Silva Bay,silva_bay,Sentinels of Change,2022-04-15,,Decomissioned until 2023,suspended from floating dock on a rope,0.5,,tidbit MX 2203,49.149062,-123.697133,sentinel_temp_silva_bay,temperature
Whaler Bay,whaler_bay,Sentinels of Change,2022-04-15,,Decomissioned until 2023,suspended from floating dock on a rope,0.5,21234352,tidbit MX 2203,48.884619,-123.327312,sentinel_temp_whaler_bay,temperature
Winter Cove,winter_cove,Sentinels of Change,2022-04-15,,Decomissioned until 2023,suspended from floating dock on a rope,0.5,,tidbit MX 2203,,,sentinel_temp_winter_cove,temperature
